epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0766,1.84197,4.14026,1.12783,0.58209,0.18142,0.24906,0.14302,1.0085,2.8709,0.94272,0.000207023,0.000207023,0.000207023
2,64.1398,1.75892,2.74115,1.12538,0.67298,0.25688,0.34026,0.22568,1.02258,2.85817,0.95674,0.00040788,0.00040788,0.00040788
3,90.1933,1.65575,2.20035,1.11405,0.27895,0.58265,0.41771,0.27959,0.96926,2.77236,0.9543,0.000601237,0.000601237,0.000601237
4,116.048,1.68648,1.93605,1.13138,0.59344,0.46813,0.54125,0.39014,0.9555,2.9616,0.94872,0.00059125,0.00059125,0.00059125
5,141.85,1.58448,1.60752,1.11058,0.42636,0.71949,0.53849,0.38873,0.99204,3.21716,0.96486,0.00058,0.00058,0.00058
6,168.051,1.59143,1.45435,1.10915,0.60745,0.41867,0.52299,0.37486,0.90309,3.12863,0.93743,0.00056875,0.00056875,0.00056875
7,194.002,1.52777,1.3495,1.09192,0.4756,0.47712,0.52995,0.38218,0.94147,2.96171,0.94896,0.0005575,0.0005575,0.0005575
8,219.932,1.53249,1.2561,1.08733,0.61339,0.66206,0.63876,0.42825,0.97697,2.91944,0.94749,0.00054625,0.00054625,0.00054625
9,245.862,1.50433,1.15185,1.0762,0.72389,0.59247,0.72683,0.5298,0.92058,2.7883,0.93428,0.000535,0.000535,0.000535
10,271.836,1.53091,1.14804,1.0833,0.5705,0.66739,0.61661,0.42825,0.95702,3.09476,0.9537,0.00052375,0.00052375,0.00052375
11,297.84,1.51515,1.08191,1.08324,0.4911,0.77335,0.63489,0.46656,0.88047,3.3203,0.93306,0.0005125,0.0005125,0.0005125
12,323.808,1.47642,1.05291,1.0828,0.66259,0.73768,0.72232,0.53029,0.92129,3.15925,0.93191,0.00050125,0.00050125,0.00050125
13,349.714,1.43495,0.99488,1.06409,0.67411,0.74325,0.76103,0.5554,0.99545,3.15209,0.95634,0.00049,0.00049,0.00049
14,375.815,1.42849,0.97332,1.0514,0.56228,0.80363,0.67359,0.51642,0.86852,3.76208,0.92502,0.00047875,0.00047875,0.00047875
15,401.764,1.44714,0.95374,1.06948,0.69803,0.74884,0.75697,0.55514,0.99256,3.59746,0.95351,0.0004675,0.0004675,0.0004675
16,428.193,1.40604,0.91743,1.04818,0.65288,0.80848,0.74874,0.5268,0.95652,3.12493,0.95265,0.00045625,0.00045625,0.00045625
17,454.136,1.42342,0.90675,1.06001,0.62907,0.79715,0.65943,0.48668,1.02386,3.52718,0.95749,0.000445,0.000445,0.000445
18,480.017,1.41253,0.88635,1.06082,0.6764,0.7408,0.72307,0.5368,0.90476,3.60684,0.9289,0.00043375,0.00043375,0.00043375
19,506.013,1.37987,0.86687,1.04484,0.69386,0.77461,0.79145,0.59191,0.86941,3.28189,0.92028,0.0004225,0.0004225,0.0004225
20,531.984,1.38282,0.85464,1.04275,0.78638,0.78481,0.76777,0.55309,0.91032,3.82725,0.93899,0.00041125,0.00041125,0.00041125
21,557.898,1.38102,0.84938,1.04377,0.71993,0.78347,0.77968,0.57899,0.92111,3.51909,0.93353,0.0004,0.0004,0.0004
22,583.901,1.37165,0.8118,1.04484,0.68925,0.74077,0.76386,0.57405,0.90683,3.47757,0.92541,0.00038875,0.00038875,0.00038875
23,609.85,1.35916,0.79748,1.03618,0.77088,0.75239,0.76341,0.57453,0.89257,3.76987,0.93256,0.0003775,0.0003775,0.0003775
24,635.904,1.37627,0.79564,1.03684,0.68056,0.81101,0.72269,0.53158,0.88143,3.6015,0.91751,0.00036625,0.00036625,0.00036625
25,662.544,1.33933,0.797,1.02606,0.72069,0.76422,0.76107,0.56061,0.92894,4.05766,0.92669,0.000355,0.000355,0.000355
26,688.675,1.34163,0.78162,1.02343,0.7184,0.83713,0.74951,0.57677,0.8403,3.73517,0.91048,0.00034375,0.00034375,0.00034375
27,714.756,1.32367,0.7668,1.01287,0.73216,0.82595,0.79942,0.60399,0.83146,3.60454,0.8986,0.0003325,0.0003325,0.0003325
28,740.804,1.3632,0.777,1.03631,0.7094,0.78352,0.75344,0.57424,0.87468,3.73867,0.91342,0.00032125,0.00032125,0.00032125
29,766.929,1.32091,0.76696,1.0176,0.65357,0.69398,0.65253,0.49297,0.84227,3.60351,0.90527,0.00031,0.00031,0.00031
30,793.24,1.33807,0.7427,1.0213,0.70725,0.80382,0.74855,0.58288,0.8518,3.60699,0.9073,0.00029875,0.00029875,0.00029875
31,819.701,1.30195,0.73562,1.01411,0.69184,0.79163,0.76463,0.58452,0.93673,3.58279,0.92822,0.0002875,0.0002875,0.0002875
32,845.789,1.27549,0.71706,1.00765,0.74743,0.8132,0.77263,0.58859,0.84308,3.87336,0.89941,0.00027625,0.00027625,0.00027625
33,871.968,1.30528,0.72302,1.02,0.75814,0.79344,0.73673,0.56394,0.86446,4.15224,0.90532,0.000265,0.000265,0.000265
34,897.982,1.27857,0.72251,1.00421,0.74935,0.82125,0.77217,0.58574,0.84625,3.58525,0.89772,0.00025375,0.00025375,0.00025375
35,924.124,1.24461,0.69134,0.99743,0.73725,0.81402,0.73998,0.55966,0.86429,3.93033,0.90315,0.0002425,0.0002425,0.0002425
36,950.023,1.24408,0.69037,0.99058,0.71103,0.76579,0.7125,0.54487,0.85818,4.03381,0.90475,0.00023125,0.00023125,0.00023125
37,976.099,1.23314,0.6809,0.99765,0.73221,0.84309,0.69953,0.52785,0.84362,4.37494,0.90281,0.00022,0.00022,0.00022
