epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8536,1.33593,2.53334,0.97507,0.73205,0.75789,0.70548,0.50574,0.89683,3.64396,0.89474,0.000207023,0.000207023,0.000207023
2,58.696,1.39221,1.55419,1.00672,0.68986,0.69024,0.71704,0.52935,0.93679,3.42017,0.92504,0.000411618,0.000411618,0.000411618
3,85.1151,1.36917,1.34475,1.00929,0.7204,0.73757,0.74437,0.54856,0.9676,3.6736,0.93498,0.000612463,0.000612463,0.000612463
4,111.626,1.40804,1.27849,1.02574,0.62744,0.73718,0.60417,0.45588,0.85636,3.89014,0.9084,0.000608125,0.000608125,0.000608125
5,137.965,1.39384,1.16784,1.03078,0.73221,0.7578,0.70496,0.51901,0.91504,3.75041,0.92663,0.0006025,0.0006025,0.0006025
6,164.341,1.36934,1.10069,1.02298,0.66381,0.83098,0.76641,0.56111,0.95164,3.5512,0.9375,0.000596875,0.000596875,0.000596875
7,190.529,1.3406,1.03096,1.0178,0.6602,0.81653,0.67541,0.49585,0.92384,4.00422,0.92566,0.00059125,0.00059125,0.00059125
8,216.815,1.34185,0.98992,1.01628,0.76326,0.75691,0.70596,0.53113,0.90492,3.99607,0.92705,0.000585625,0.000585625,0.000585625
9,243.296,1.34442,0.92391,1.01779,0.67106,0.69454,0.69725,0.5165,0.90029,3.49819,0.91752,0.00058,0.00058,0.00058
10,269.709,1.36413,0.92676,1.02098,0.72152,0.74143,0.6945,0.50173,0.94546,3.4413,0.93611,0.000574375,0.000574375,0.000574375
11,296.001,1.34513,0.90375,1.02046,0.67766,0.80377,0.71573,0.5377,0.91177,3.63612,0.92477,0.00056875,0.00056875,0.00056875
12,322.253,1.31714,0.86275,1.02045,0.60511,0.81982,0.65733,0.4805,0.92853,3.5043,0.92564,0.000563125,0.000563125,0.000563125
13,349.492,1.27968,0.83736,1.00545,0.6521,0.80902,0.67984,0.51691,0.94507,4.13473,0.93099,0.0005575,0.0005575,0.0005575
