epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1187.2,1.26938,0.69977,1.00055,0.72241,0.78368,0.80756,0.63511,0.80704,3.35957,0.89169,0.000371313,0.000371313,0.000371313
43,1214.79,1.24167,0.68085,0.99412,0.7508,0.83982,0.83412,0.63539,0.87453,3.056,0.90665,0.000365125,0.000365125,0.000365125
44,1242.07,1.20744,0.66891,0.98121,0.78543,0.8373,0.80803,0.62789,0.8881,3.59516,0.91115,0.000358938,0.000358938,0.000358938
45,1269.41,1.21909,0.66276,0.98266,0.70376,0.81192,0.73477,0.57015,0.83427,3.97185,0.89166,0.00035275,0.00035275,0.00035275
46,1296.88,1.23301,0.67297,0.98365,0.77199,0.78956,0.75705,0.58485,0.83667,4.29114,0.89037,0.000346563,0.000346563,0.000346563
47,1324.19,1.22386,0.66087,0.99411,0.73848,0.8237,0.74036,0.56059,0.87837,4.42972,0.9087,0.000340375,0.000340375,0.000340375
48,1351.57,1.22863,0.65051,0.98289,0.75553,0.79901,0.79515,0.6076,0.85717,4.39892,0.89936,0.000334188,0.000334188,0.000334188
49,1378.86,1.21825,0.65659,0.98564,0.77133,0.83673,0.83845,0.66378,0.81549,3.10079,0.8936,0.000328,0.000328,0.000328
50,1406.21,1.18961,0.65071,0.98587,0.76275,0.82433,0.75865,0.59099,0.86096,4.24628,0.90369,0.000321812,0.000321812,0.000321812
51,1433.63,1.21099,0.64969,0.98337,0.79271,0.81339,0.809,0.62415,0.84005,4.12804,0.89955,0.000315625,0.000315625,0.000315625
52,1462.06,1.21153,0.65546,0.97359,0.78506,0.80819,0.8242,0.64083,0.82152,4.06176,0.88827,0.000309437,0.000309437,0.000309437
53,1489.22,1.18397,0.6372,0.97198,0.7711,0.80774,0.78891,0.61145,0.798,4.33744,0.89173,0.00030325,0.00030325,0.00030325
54,1516.37,1.19693,0.65318,0.97969,0.71979,0.82689,0.76668,0.58089,0.81683,4.16696,0.89034,0.000297063,0.000297063,0.000297063
55,1543.52,1.15911,0.62036,0.96079,0.72373,0.8167,0.79914,0.62998,0.83331,4.10592,0.8878,0.000290875,0.000290875,0.000290875
56,1570.79,1.15411,0.60823,0.96801,0.78262,0.8432,0.81435,0.61699,0.85196,4.79687,0.89689,0.000284688,0.000284688,0.000284688
57,1599.05,1.16089,0.61818,0.96622,0.75012,0.84441,0.8146,0.61928,0.87762,4.30274,0.89939,0.0002785,0.0002785,0.0002785
58,1626.49,1.17447,0.62729,0.96955,0.77416,0.83353,0.79452,0.61513,0.82032,4.56515,0.88863,0.000272313,0.000272313,0.000272313
59,1653.84,1.12312,0.59897,0.95666,0.75383,0.85191,0.75331,0.59135,0.82716,4.8017,0.88633,0.000266125,0.000266125,0.000266125
60,1681.07,1.13103,0.60485,0.95277,0.75947,0.8517,0.77477,0.59691,0.84492,4.91627,0.90095,0.000259938,0.000259938,0.000259938
61,1708.33,1.14361,0.60141,0.9658,0.76707,0.83742,0.73836,0.57159,0.83505,5.54777,0.89118,0.00025375,0.00025375,0.00025375
62,1735.52,1.11435,0.58535,0.95226,0.79349,0.83962,0.81604,0.61721,0.8404,3.95359,0.90027,0.000247563,0.000247563,0.000247563
63,1762.85,1.1053,0.58529,0.95028,0.74294,0.83696,0.76686,0.58788,0.82882,3.91358,0.88984,0.000241375,0.000241375,0.000241375
64,1789.95,1.13815,0.60217,0.96367,0.73605,0.81024,0.76741,0.58561,0.83709,4.11089,0.89546,0.000235188,0.000235188,0.000235188
65,1817.31,1.08563,0.57997,0.93431,0.73966,0.78664,0.77905,0.59279,0.80631,4.50152,0.887,0.000229,0.000229,0.000229
66,1844.49,1.10939,0.5947,0.94525,0.69649,0.80931,0.73781,0.57252,0.83233,4.69376,0.88889,0.000222813,0.000222813,0.000222813
67,1871.74,1.11013,0.57673,0.94472,0.76363,0.84833,0.83003,0.63685,0.85005,4.00098,0.90033,0.000216625,0.000216625,0.000216625
68,1898.94,1.09385,0.59723,0.95416,0.79307,0.84425,0.79031,0.61916,0.86847,4.64328,0.90153,0.000210437,0.000210437,0.000210437
69,1926.29,1.09545,0.579,0.9507,0.73375,0.79136,0.7096,0.56029,0.83902,4.88726,0.89536,0.00020425,0.00020425,0.00020425
70,1953.43,1.08984,0.57085,0.94519,0.77398,0.80312,0.77649,0.60368,0.84269,5.10683,0.8988,0.000198063,0.000198063,0.000198063
71,1980.71,1.08264,0.57271,0.93922,0.76968,0.79714,0.7603,0.60598,0.8421,4.84617,0.89558,0.000191875,0.000191875,0.000191875
72,2009.45,1.09429,0.56564,0.96053,0.77233,0.84929,0.77079,0.58272,0.84512,4.52552,0.8955,0.000185688,0.000185688,0.000185688
73,2038.34,1.0605,0.56191,0.93571,0.73045,0.79393,0.75106,0.57991,0.83524,4.81263,0.895,0.0001795,0.0001795,0.0001795
74,2063.97,1.06195,0.56423,0.93409,0.78128,0.82664,0.80766,0.62665,0.83551,4.38056,0.88735,0.000173313,0.000173313,0.000173313
75,2091.88,1.08537,0.5697,0.94914,0.75797,0.84458,0.79996,0.62738,0.85122,4.55508,0.89498,0.000167125,0.000167125,0.000167125
76,2121.26,1.06732,0.55733,0.94568,0.71031,0.8198,0.76092,0.59132,0.8483,4.85434,0.8964,0.000160938,0.000160938,0.000160938
77,2151.33,1.07067,0.56173,0.93926,0.73819,0.81978,0.79324,0.617,0.81767,4.73424,0.88462,0.00015475,0.00015475,0.00015475
78,2181.87,1.04163,0.54655,0.93266,0.77454,0.82333,0.76882,0.60671,0.82846,4.73932,0.89201,0.000148563,0.000148563,0.000148563
79,2211.85,1.0466,0.55496,0.93444,0.77383,0.85104,0.7785,0.59811,0.86949,4.71032,0.90179,0.000142375,0.000142375,0.000142375
80,2241.85,1.03806,0.55457,0.93338,0.7606,0.84763,0.80927,0.63451,0.81858,4.56588,0.89113,0.000136187,0.000136187,0.000136187
81,2272.61,1.0583,0.54843,0.93947,0.78107,0.83439,0.79618,0.61297,0.85642,4.58455,0.89451,0.00013,0.00013,0.00013
82,2303.25,1.02262,0.52569,0.92041,0.74375,0.81207,0.77315,0.60434,0.81966,4.50039,0.88732,0.000123812,0.000123812,0.000123812
83,2333.82,1.03172,0.53652,0.92511,0.74925,0.80056,0.75945,0.59737,0.83683,4.15165,0.89333,0.000117625,0.000117625,0.000117625
84,2364.83,1.02434,0.52994,0.9274,0.78266,0.82631,0.79099,0.61883,0.8207,4.56565,0.89207,0.000111438,0.000111438,0.000111438
85,2396.47,1.03259,0.53916,0.92269,0.68541,0.85157,0.7592,0.59937,0.83351,4.53005,0.89208,0.00010525,0.00010525,0.00010525
86,2427.7,1.02153,0.52708,0.92457,0.67946,0.81712,0.77747,0.60154,0.82189,4.36654,0.88831,9.90625e-05,9.90625e-05,9.90625e-05
87,2460.37,1.00945,0.51779,0.92682,0.75764,0.8514,0.77702,0.60265,0.8546,4.54528,0.89979,9.2875e-05,9.2875e-05,9.2875e-05
88,2491.62,1.00672,0.5166,0.92122,0.76127,0.83723,0.75889,0.59973,0.8513,4.74673,0.89709,8.66875e-05,8.66875e-05,8.66875e-05
89,2523.84,1.00181,0.51986,0.91283,0.76924,0.82461,0.73581,0.58235,0.82978,4.96606,0.89221,8.05e-05,8.05e-05,8.05e-05
90,2555.46,1.00039,0.50931,0.92101,0.76643,0.82871,0.74915,0.59498,0.83814,4.98124,0.89794,7.43125e-05,7.43125e-05,7.43125e-05
91,2625.67,0.9692,0.47093,0.95541,0.73341,0.78846,0.76768,0.59827,0.83325,4.64779,0.89516,6.8125e-05,6.8125e-05,6.8125e-05
92,2656.7,0.95172,0.46438,0.94241,0.74806,0.80059,0.73356,0.56676,0.82932,4.95078,0.89779,6.19375e-05,6.19375e-05,6.19375e-05
93,2687.01,0.95117,0.46475,0.94343,0.7445,0.85188,0.74723,0.57911,0.8291,4.82679,0.89683,5.575e-05,5.575e-05,5.575e-05
94,2715.48,0.94213,0.45893,0.9478,0.75187,0.85164,0.75915,0.59464,0.83641,4.52894,0.89919,4.95625e-05,4.95625e-05,4.95625e-05
95,2743.88,0.93085,0.44594,0.9428,0.73653,0.82766,0.73938,0.57474,0.8211,4.72492,0.89102,4.3375e-05,4.3375e-05,4.3375e-05
96,2773.41,0.94007,0.45171,0.95408,0.74228,0.8449,0.75906,0.59055,0.83643,4.78908,0.89705,3.71875e-05,3.71875e-05,3.71875e-05
97,2802.03,0.94324,0.45378,0.94811,0.73396,0.82836,0.73803,0.57793,0.83554,4.89728,0.89932,3.1e-05,3.1e-05,3.1e-05
98,2831.11,0.93797,0.4526,0.93555,0.73351,0.83719,0.7356,0.57444,0.83609,4.90413,0.89761,2.48125e-05,2.48125e-05,2.48125e-05
99,2860.77,0.94186,0.45334,0.94747,0.72129,0.83769,0.73795,0.57034,0.84172,4.95412,0.90262,1.8625e-05,1.8625e-05,1.8625e-05
100,2889.95,0.92722,0.4477,0.9364,0.7126,0.84894,0.73237,0.57143,0.84415,4.99751,0.90288,1.24375e-05,1.24375e-05,1.24375e-05
