epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2911,1.84197,4.14026,1.12783,0.58209,0.18142,0.24906,0.14302,1.0085,2.8709,0.94272,0.000207023,0.000207023,0.000207023
2,67.2894,1.75629,2.7516,1.12271,0.65255,0.3012,0.39305,0.25515,1.00405,2.90909,0.9729,0.000407132,0.000407132,0.000407132
3,95.2291,1.65348,2.20338,1.11436,0.27384,0.42797,0.3783,0.26352,0.96888,2.87344,0.95587,0.000598992,0.000598992,0.000598992
4,124.971,1.6741,1.94458,1.12522,0.55377,0.40085,0.52978,0.38048,0.95735,3.05925,0.93707,0.000587875,0.000587875,0.000587875
5,153.189,1.58385,1.62189,1.1132,0.28833,0.74679,0.44803,0.31159,0.99417,3.14633,0.96204,0.0005755,0.0005755,0.0005755
6,184.741,1.58685,1.45051,1.11148,0.45251,0.59574,0.55876,0.38958,0.98711,3.23541,0.95339,0.000563125,0.000563125,0.000563125
7,213.546,1.52604,1.31902,1.09767,0.54314,0.65001,0.58884,0.42974,0.90167,3.33411,0.94409,0.00055075,0.00055075,0.00055075
8,241.185,1.51234,1.24759,1.08584,0.54338,0.63309,0.56251,0.39845,0.95138,3.51072,0.93744,0.000538375,0.000538375,0.000538375
9,268.051,1.49969,1.16135,1.07693,0.64823,0.57923,0.55882,0.39984,0.95061,3.38622,0.94411,0.000526,0.000526,0.000526
10,294.457,1.53005,1.14684,1.08466,0.48935,0.55763,0.53011,0.35856,0.9562,3.24282,0.95414,0.000513625,0.000513625,0.000513625
11,321.038,1.51474,1.08881,1.08302,0.56601,0.66986,0.57781,0.42613,0.94701,3.39525,0.9428,0.00050125,0.00050125,0.00050125
12,347.5,1.46579,1.03421,1.08103,0.66354,0.78059,0.68307,0.50716,0.9081,3.18704,0.94148,0.000488875,0.000488875,0.000488875
13,373.919,1.4212,1.00163,1.05917,0.64893,0.68948,0.75231,0.53885,1.13308,3.01525,1.02174,0.0004765,0.0004765,0.0004765
14,400.282,1.42682,0.97331,1.05505,0.69014,0.7202,0.73935,0.55622,0.85039,3.92218,0.91395,0.000464125,0.000464125,0.000464125
15,426.855,1.43151,0.95386,1.06461,0.57225,0.81764,0.62167,0.44378,1.00414,3.86832,0.95924,0.00045175,0.00045175,0.00045175
16,453.16,1.41069,0.9039,1.05016,0.70857,0.75644,0.66971,0.49478,0.90018,3.61111,0.9419,0.000439375,0.000439375,0.000439375
17,479.664,1.42378,0.93109,1.06079,0.65039,0.79526,0.68786,0.51797,1.02516,3.12646,0.9672,0.000427,0.000427,0.000427
18,506.667,1.42794,0.88263,1.0651,0.68663,0.82517,0.69236,0.52805,0.89493,3.76071,0.92796,0.000414625,0.000414625,0.000414625
19,534.3,1.37221,0.86672,1.04046,0.58727,0.79097,0.67574,0.50043,0.84829,3.26718,0.91269,0.00040225,0.00040225,0.00040225
20,561.066,1.37793,0.86332,1.04006,0.70914,0.79166,0.76906,0.57371,0.86415,3.82206,0.92134,0.000389875,0.000389875,0.000389875
21,587.961,1.39038,0.84836,1.0486,0.65743,0.85029,0.72308,0.53158,0.93986,3.68748,0.93813,0.0003775,0.0003775,0.0003775
22,614.961,1.37689,0.81179,1.05112,0.74022,0.83569,0.75968,0.56396,0.93449,3.87652,0.94035,0.000365125,0.000365125,0.000365125
23,642.187,1.35498,0.8065,1.03826,0.6992,0.78545,0.74182,0.56042,0.88341,4.06763,0.92094,0.00035275,0.00035275,0.00035275
24,667.947,1.37699,0.80185,1.03782,0.68589,0.77844,0.71071,0.53164,0.85157,3.74042,0.89995,0.000340375,0.000340375,0.000340375
25,693.551,1.33169,0.78908,1.026,0.7602,0.83388,0.81664,0.61016,0.89438,4.59694,0.91667,0.000328,0.000328,0.000328
26,719.019,1.3311,0.77413,1.02155,0.74393,0.79084,0.78515,0.58973,0.84741,4.0017,0.90552,0.000315625,0.000315625,0.000315625
27,744.482,1.32165,0.7667,1.01218,0.7093,0.78963,0.77509,0.58283,0.88199,4.30754,0.91234,0.00030325,0.00030325,0.00030325
28,770.09,1.36129,0.77973,1.03689,0.76173,0.78952,0.7891,0.59391,0.88659,3.93885,0.91748,0.000290875,0.000290875,0.000290875
29,797.405,1.30954,0.766,1.01262,0.70218,0.78636,0.73713,0.56452,0.83634,3.6027,0.89856,0.0002785,0.0002785,0.0002785
30,823.894,1.34048,0.7509,1.02096,0.66638,0.75274,0.73013,0.55439,0.87576,4.06971,0.91681,0.000266125,0.000266125,0.000266125
31,849.965,1.29091,0.73442,1.01165,0.68906,0.81502,0.75544,0.57751,0.9175,3.95527,0.92239,0.00025375,0.00025375,0.00025375
