epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1355.64,0.88546,0.51528,0.89332,0.98135,0.97867,0.995,0.79601,0.95,0.41341,0.89626,0.000371313,0.000371313,0.000371313
43,1387.09,0.87481,0.50322,0.88391,0.97808,0.99825,0.995,0.77702,0.95134,0.39884,0.89671,0.000365125,0.000365125,0.000365125
44,1420.45,0.87091,0.50449,0.88378,0.96453,0.94882,0.995,0.77702,0.94983,0.45167,0.89731,0.000358938,0.000358938,0.000358938
45,1451.31,0.87224,0.50143,0.88542,0.94494,0.95328,0.9877,0.77759,0.98942,0.48475,0.90149,0.00035275,0.00035275,0.00035275
46,1481.79,0.87838,0.50926,0.889,0.96597,0.98739,0.995,0.78989,0.93985,0.42319,0.89501,0.000346563,0.000346563,0.000346563
47,1512.24,0.86118,0.49572,0.88606,0.97552,0.9424,0.99473,0.78853,0.93143,0.44138,0.89397,0.000340375,0.000340375,0.000340375
48,1542.73,0.871,0.49562,0.88109,0.97002,0.95613,0.995,0.79053,0.95982,0.45032,0.89638,0.000334188,0.000334188,0.000334188
49,1573.37,0.86419,0.4863,0.88343,0.98023,0.99517,0.995,0.77207,0.96171,0.38553,0.89923,0.000328,0.000328,0.000328
50,1603.92,0.8626,0.48691,0.87988,0.94929,0.9062,0.97944,0.77965,0.94148,0.5045,0.89234,0.000321812,0.000321812,0.000321812
51,1634.44,0.85915,0.47239,0.88247,0.965,0.96743,0.9871,0.78136,0.91962,0.43105,0.89182,0.000315625,0.000315625,0.000315625
52,1664.86,0.86642,0.48387,0.88524,0.95862,0.97507,0.995,0.78591,0.95547,0.42093,0.8946,0.000309437,0.000309437,0.000309437
53,1695.42,0.85406,0.4719,0.8806,0.96361,0.92424,0.9873,0.79053,0.91527,0.47946,0.88917,0.00030325,0.00030325,0.00030325
54,1726.02,0.84649,0.46402,0.88096,0.97422,0.98271,0.995,0.77872,0.94053,0.40367,0.89375,0.000297063,0.000297063,0.000297063
55,1756.8,0.84989,0.47597,0.87851,0.95899,0.92618,0.9882,0.77338,0.93051,0.48808,0.89257,0.000290875,0.000290875,0.000290875
56,1787.37,0.8487,0.47586,0.88256,0.95238,0.97534,0.99214,0.79671,0.92548,0.42845,0.88776,0.000284688,0.000284688,0.000284688
57,1817.89,0.85258,0.46391,0.87854,0.97947,0.97608,0.9946,0.79186,0.95346,0.40759,0.89918,0.0002785,0.0002785,0.0002785
58,1848.21,0.83837,0.46554,0.87817,0.97455,0.98636,0.995,0.79614,0.93786,0.40547,0.89061,0.000272313,0.000272313,0.000272313
59,1878.53,0.83367,0.4603,0.877,0.91762,0.92325,0.97575,0.77445,0.9329,0.57017,0.89395,0.000266125,0.000266125,0.000266125
60,1908.63,0.83764,0.44688,0.88018,0.97607,0.97702,0.99447,0.79546,0.95747,0.40125,0.89493,0.000259938,0.000259938,0.000259938
61,1938.79,0.83902,0.4542,0.8812,0.95419,0.97928,0.995,0.79322,0.9629,0.41093,0.901,0.00025375,0.00025375,0.00025375
62,1968.91,0.84471,0.45335,0.88251,0.92621,0.98719,0.9904,0.77196,0.95102,0.43253,0.89421,0.000247563,0.000247563,0.000247563
63,1999.09,0.83725,0.44455,0.87673,0.97457,0.93609,0.9911,0.78787,0.9385,0.42169,0.89836,0.000241375,0.000241375,0.000241375
64,2029.3,0.8343,0.44345,0.88029,0.90966,0.88369,0.97197,0.77475,0.96197,0.6231,0.90017,0.000235188,0.000235188,0.000235188
65,2059.56,0.83118,0.44433,0.87189,0.98149,0.98009,0.995,0.7933,0.93958,0.38086,0.89557,0.000229,0.000229,0.000229
66,2089.76,0.82515,0.4371,0.87411,0.95985,0.97452,0.99293,0.79249,0.95859,0.43613,0.90109,0.000222813,0.000222813,0.000222813
67,2119.9,0.81867,0.43667,0.87374,0.98533,0.98748,0.995,0.79409,0.94384,0.37271,0.89531,0.000216625,0.000216625,0.000216625
68,2150.05,0.82463,0.43622,0.86789,0.96231,0.9154,0.97041,0.77857,0.97214,0.50935,0.90332,0.000210437,0.000210437,0.000210437
69,2180.22,0.81734,0.42451,0.87492,0.9603,0.91314,0.96522,0.75939,0.96762,0.52225,0.89789,0.00020425,0.00020425,0.00020425
70,2210.35,0.81508,0.41953,0.87568,0.96952,0.92803,0.98762,0.78064,0.96153,0.47361,0.89954,0.000198063,0.000198063,0.000198063
71,2240.59,0.80478,0.41437,0.86652,0.98017,0.98734,0.99363,0.7954,0.9453,0.3968,0.89915,0.000191875,0.000191875,0.000191875
72,2270.76,0.80613,0.42403,0.86963,0.97053,0.95778,0.9809,0.77738,0.95519,0.44163,0.89708,0.000185688,0.000185688,0.000185688
73,2300.95,0.80574,0.42347,0.87104,0.98049,0.96587,0.98947,0.78336,0.95078,0.42104,0.89857,0.0001795,0.0001795,0.0001795
74,2331.04,0.81641,0.42287,0.87219,0.97559,0.97327,0.9902,0.79179,0.94216,0.4091,0.8966,0.000173313,0.000173313,0.000173313
75,2361.15,0.79936,0.41877,0.87013,0.89757,0.95046,0.97369,0.77568,0.94596,0.52596,0.89619,0.000167125,0.000167125,0.000167125
76,2391.24,0.80491,0.41901,0.86763,0.95453,0.93418,0.97906,0.7766,0.94917,0.44873,0.89862,0.000160938,0.000160938,0.000160938
77,2421.36,0.80474,0.40958,0.87096,0.97479,0.93838,0.9807,0.77805,0.95013,0.44461,0.89702,0.00015475,0.00015475,0.00015475
78,2451.41,0.79515,0.40859,0.86803,0.97003,0.966,0.99006,0.78343,0.94749,0.41735,0.90005,0.000148563,0.000148563,0.000148563
79,2483.93,0.79323,0.40731,0.86495,0.9616,0.91112,0.98022,0.77986,0.97364,0.47375,0.9019,0.000142375,0.000142375,0.000142375
80,2515.73,0.7938,0.40949,0.86821,0.96118,0.968,0.98228,0.78058,0.95714,0.44193,0.89697,0.000136187,0.000136187,0.000136187
81,2549.01,0.79147,0.40241,0.86961,0.97128,0.9346,0.99006,0.79119,0.93089,0.46833,0.8922,0.00013,0.00013,0.00013
82,2581.99,0.78229,0.396,0.86632,0.90806,0.92214,0.97629,0.78244,0.95941,0.52929,0.89668,0.000123812,0.000123812,0.000123812
83,2614.03,0.78776,0.39865,0.86646,0.94748,0.94207,0.99183,0.79345,0.96033,0.47052,0.89957,0.000117625,0.000117625,0.000117625
