epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10844.4,1.64808,1.21417,1.20551,0.59057,0.81319,0.79319,0.53712,1.11954,2.55486,0.99151,0.000371313,0.000371313,0.000371313
43,10995.5,1.62927,1.18971,1.18645,0.58839,0.77503,0.74187,0.48794,1.17534,2.67775,1.00389,0.000365125,0.000365125,0.000365125
44,11195.9,1.6456,1.20201,1.18318,0.61893,0.74251,0.78027,0.52267,1.08975,2.46793,0.98344,0.000358938,0.000358938,0.000358938
45,11401.8,1.63937,1.20724,1.18955,0.65355,0.77731,0.77373,0.51003,1.09314,2.83173,0.97966,0.00035275,0.00035275,0.00035275
46,11624.7,1.60772,1.17863,1.17257,0.65021,0.81286,0.80596,0.52055,1.16768,2.5017,1,0.000346563,0.000346563,0.000346563
47,11877.1,1.62497,1.17598,1.20127,0.59909,0.76248,0.79386,0.50131,1.0838,2.52663,0.97887,0.000340375,0.000340375,0.000340375
48,12171.6,1.61094,1.17382,1.20671,0.67338,0.77059,0.77045,0.49672,1.13555,2.58625,0.9907,0.000334188,0.000334188,0.000334188
49,12366.2,1.64312,1.17207,1.21985,0.65939,0.7863,0.83628,0.52888,1.09033,2.60797,0.98613,0.000328,0.000328,0.000328
50,12583.6,1.62664,1.16941,1.19901,0.70505,0.73441,0.78291,0.49308,1.1441,2.63592,0.99761,0.000321812,0.000321812,0.000321812
51,12783.3,1.63835,1.16288,1.18117,0.63278,0.8279,0.79903,0.52917,1.13322,2.48408,0.98967,0.000315625,0.000315625,0.000315625
52,12976.4,1.64685,1.14692,1.20989,0.71238,0.79135,0.79569,0.49086,1.20964,2.8168,1.0161,0.000309437,0.000309437,0.000309437
53,13140.6,1.64372,1.15272,1.17088,0.67367,0.693,0.77868,0.51117,1.13285,2.55685,0.99305,0.00030325,0.00030325,0.00030325
54,13303.8,1.62286,1.13549,1.19321,0.68751,0.77672,0.81263,0.52669,1.08202,2.43936,0.98101,0.000297063,0.000297063,0.000297063
55,13507,1.59937,1.14235,1.17832,0.6058,0.81227,0.81429,0.54627,1.07944,2.40077,0.97644,0.000290875,0.000290875,0.000290875
56,13759.4,1.63326,1.14146,1.18605,0.68083,0.84314,0.83025,0.53435,1.07246,2.24715,0.9798,0.000284688,0.000284688,0.000284688
57,13949.5,1.60828,1.13235,1.19189,0.66566,0.80084,0.7748,0.49499,1.1086,2.68505,0.98863,0.0002785,0.0002785,0.0002785
58,14181.2,1.62352,1.13427,1.18004,0.66797,0.79714,0.79591,0.51069,1.13974,2.69182,0.99969,0.000272313,0.000272313,0.000272313
59,14398.2,1.60564,1.09838,1.17403,0.68007,0.81856,0.78555,0.51876,1.08525,2.71897,0.97761,0.000266125,0.000266125,0.000266125
60,14581.9,1.59382,1.09065,1.19078,0.72915,0.83347,0.82722,0.52193,1.19435,2.05388,1.00809,0.000259938,0.000259938,0.000259938
